id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7,aperture_sum_8,aperture_sum_9
1420,705.7325269051622,1962.7249120347371,0.46969962228645773,-0.13422337758971872,-0.3756761708083691,49,0.0,0.010984103102246992,1.3421432829995352,-0.31949720555551464,705.7325269051622,1962.7249120347371,852.2200057960256,0.0,0.0,251.69942919806357,63.99337529946534,100.20304859205025,97.13540263308819,92.73529348535497,82.15556322492863,79.77713539555448,93.30489887033052,96.5955231745053,82.82923713307247,76.13127509211085,51.35262819502992
1421,2259.5053952608655,1962.9901002658503,0.6727660886220768,0.12638613745384708,-0.27184939565192995,49,0.0,0.045407219957500765,5.694740571295574,-1.888684860536879,2259.5053952608655,1962.9901002658503,1165.506600683963,0.0,0.0,250.22289488051078,63.99462333829341,125.77267358887775,109.41056779753703,134.2721234767858,113.05285265830062,116.7097948304768,127.19846013748847,113.49892406622362,116.88034553057086,136.81816617470838,71.89269242299375
1422,1105.0167706951918,1964.381002830235,0.5191727929405511,-0.4680077113953495,-0.14891822787215614,49,0.0,0.01637152178367261,2.19421901272605,-0.8531999346592876,1105.0167706951918,1964.381002830235,787.8453838287404,0.0,0.0,251.32003511992264,63.99578913166333,85.05538047451637,72.04334865791876,93.0233569923536,83.10995718407278,70.73184333048681,90.4654320609848,84.24877085817835,91.5561287129128,77.19596995155493,40.41519560576122
1423,1557.587296304705,1966.0765033192922,0.3379451837146049,0.1704007817442957,-0.09597091953270546,49,0.0,0.011064784122754029,1.5008558816671127,-0.44084747877326214,1557.587296304705,1966.0765033192922,836.0550260103228,0.0,0.0,250.88993831402175,63.99725233350826,80.96116523353736,84.17531844303805,82.71280907253188,89.87634828138559,85.8831974955493,73.14360564657923,86.14563482342766,100.87858222469796,98.15527752792272,54.123087261653
1424,2544.361894596522,1966.8527613490946,0.6059048153956627,0.8502713242426234,0.20912835086406045,49,0.0,0.010317273592157056,1.1283788706105362,-0.1311373630118368,2544.361894596522,1966.8527613490946,728.7834283416091,0.0,0.0,249.95217881380538,63.9948147183117,61.87233952132638,75.82382047618722,64.22164572594625,74.06941062013775,97.1028380371979,77.84386977399447,79.27812604513824,87.17285288059688,82.1013865542465,29.297138706837575
1425,2666.7139060501036,1966.5384831769793,0.6639966029037364,0.6083835614652282,-0.13781160391919392,49,0.0,0.07939061759687131,10.409564497993083,-2.543581401087862,2666.7139060501036,1966.5384831769793,1649.0865453281353,0.0,0.0,249.83593221888492,63.9939200721243,166.30611853611353,163.69710446566268,162.2107232055329,186.87802047828274,159.2069758943623,180.09967228211212,184.91210266063482,162.57158375801606,191.6044852780383,91.59975876937953
1426,1331.8245937582183,1969.2312315553359,0.3727950145998388,0.23999448941456705,-0.38973374960816176,49,0.0,0.00975128317242543,1.463667255547233,-0.41360589278861076,1331.8245937582183,1969.2312315553359,733.9183324118108,0.0,0.0,251.10451163162233,63.99834829838173,83.39178730203776,74.72393842207606,67.28598195335374,83.96269067006844,64.23026797523877,68.82983823859576,95.11233930807902,70.06112769309372,78.97134203509844,47.34901881416906
1427,281.56504737166415,1969.5975489102632,0.3702462100007352,0.6738985778306342,-0.10903409504375455,49,0.0,0.016249336946563265,2.5473098765661737,-1.0152044486839082,281.56504737166415,1969.5975489102632,976.0784350158632,0.0,616.8237601018935,252.10252507550842,63.99332270085602,83.96016530288249,103.78098140781171,93.36525384380036,101.46522665691538,118.66985422139612,105.99311797488613,107.67419331396428,91.09838512036023,112.89355849650505,57.17769867734154
1428,2558.076940909889,1970.5575040257827,0.47675753887972366,0.7029412586160052,-0.05273546979460142,49,0.0,0.023647602386240398,3.478362880145743,-1.3534372194858535,2558.076940909889,1970.5575040257827,943.8359918029776,0.0,0.0,249.93909704670142,63.99627717189039,101.59441573886396,104.34898615574531,97.91466624290805,86.9595072376444,92.74016713986362,85.87932341742737,110.77852547583902,88.92491910301132,103.98014100293047,70.71534028874399
1429,3005.1091675795733,1969.993034474209,0.32274231733500525,0.48196960839109976,-0.4510991243332776,49,0.0,0.015372983045495336,2.773188221610947,-1.1074483674470872,3005.1091675795733,1969.993034474209,1027.6648885536324,0.0,489.03507757778704,249.51438916054119,63.99276292719116,51.843477593770714,85.71968196602805,142.42227126998984,149.50790620440978,101.3844478475339,195.3918466894236,63.69301864987236,101.74905587085405,78.09460893300076,57.858573528749154
1430,2515.134780106278,1970.8682552476532,0.8067601592219497,0.3931771293023746,-0.18104047133291337,49,0.0,0.021890876169742605,2.3814470239973526,-0.9421023123604445,2515.134780106278,1970.8682552476532,748.4579979348647,0.0,0.0,249.97989778170617,63.99665631904455,71.27956405240624,83.46628265415009,73.45829778395677,78.2100692323402,69.25464948959826,61.074377836934005,81.32979580528088,78.98148499506628,101.43199167316462,49.971484411967396
1431,2002.464941592703,1972.7743832626616,0.4037070931976821,0.3631264642940757,-0.2809896198148479,49,0.0,0.06579872670047447,11.702583667494235,-2.6707043869855966,2002.464941592703,1972.7743832626616,1766.6159893892466,0.0,0.0,250.4670978444273,63.99954692393325,167.59590567160717,165.7119455832728,182.38084933890434,201.4300814578837,183.66151079521705,199.69174661233114,169.79752127497008,201.65633042835904,196.6762922693174,98.01380595738374
1432,2743.1022185804068,1973.2244318490582,0.3069039003815698,0.007318121549809783,-0.40317514472657634,49,0.0,0.011382333681593476,1.7893877700009717,-0.6317611618195867,2743.1022185804068,1973.2244318490582,777.3502488773472,0.0,0.0,249.76324919106375,63.99618143089027,79.91220544709631,87.46934839319488,77.87841182224763,80.5898741703076,85.35085075107764,89.93554254212273,70.69742634393528,85.25769474564797,75.92610723417167,44.33278742754544
1433,1278.9975995122427,1975.2558178653996,0.20116253193757808,-0.04375936821039149,0.4521848146067197,49,0.0,0.006594105460653955,1.0247075520887163,-0.02649984241533257,1278.9975995122427,1975.2558178653996,721.7706821247854,0.0,0.0,251.15474653492055,64.00076165110058,61.40596610013531,55.4079622489951,89.49575287735276,77.04669499892042,76.01864116070678,72.87018888582523,87.79304585969508,73.80054643774267,87.27848158789237,40.65340196751962
