expt,t0,t1
99.62396326845109,882584653.995,882584773.995
105.0548921672302,882584773.995,882584893.995
99.24110515613195,882584893.995,882585013.995
74.4188800866997,882585013.995,882585133.995
109.5765580032063,882585133.995,882585253.995
105.6349171948929,882585253.995,882585373.995
101.6830530619757,882585373.995,882585493.995
105.6845055828772,882585493.995,882585613.995
97.65813939760578,882585613.995,882585733.995
109.6221209941188,882585733.995,882585853.995
77.37772280273025,882585853.995,882585973.995
109.1912740191342,882585973.995,882586093.995
105.0366193316456,882586093.995,882586213.995
94.78314193255855,882586213.995,882586333.995
19.12981244784617,882586333.995,882586453.995
