expt,t0,t1
78.883982841215,814817429.52,814817549.52
118.7797259796335,814817549.52,814817669.52
118.7966800981926,814817669.52,814817789.52
118.8126715223225,814817789.52,814817909.52
118.8240420131921,814817909.52,814818029.52
118.828449014357,814818029.52,814818149.52
118.823261161044,814818149.52,814818269.52
118.8328239257076,814818269.52,814818389.52
118.8300695499795,814818389.52,814818509.52
118.8243308215209,814818509.52,814818629.52
118.8074248376832,814818629.52,814818749.52
118.7915724694153,814818749.52,814818869.52
97.44208238430936,814818869.52,814818989.52
