id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7,aperture_sum_8
3499,581.4100244674709,2332.098710320792,0.798167097283527,0.1563359942844543,0.8495383591360899,49,0.0,0.012404727217090007,1.0131327270580097,-0.014165861310242082,581.4100244674709,2332.098710320792,904.6393553231017,0.0,0.0,271.5097889930896,17.780464329452148,90.5594674188032,109.03581109522888,115.51259299430248,105.57963028382349,108.89675129053461,87.24330137385124,106.84738934816065,130.53875677963842,50.425654738758695
3500,2927.5564268133203,2331.8353522595035,0.2597095667895197,0.48780742729763565,0.26844476937571565,49,0.0,0.012515785957951619,1.4932737284125004,-0.435348561246146,2927.5564268133203,2331.8353522595035,995.6076250546032,0.0,793.9282397210627,270.4832319345711,17.780003596696464,126.57534275182472,117.12252310390832,112.99376215727258,117.98727251070284,122.07148344707947,101.28934497115131,127.67860717325811,119.5853073070881,50.303981632317736
3501,568.401298993131,2331.902481195944,0.92170847613043,0.1678895458890514,-0.37444503675272495,49,0.0,0.015349774911300743,1.3836526558911981,-0.35256770260965714,568.401298993131,2331.902481195944,892.972995983788,0.0,0.0,271.51548057448815,17.78036960895596,76.94821773547086,101.12737382873038,117.27837942683254,96.37745620545084,112.9838310884379,107.34280973497093,110.45440876444547,111.01428005710042,59.4462391423486
3502,1494.6246485358317,2333.0943568571406,0.2772094337136768,-0.6045496499090215,0.1835375697669789,49,0.0,0.008489212759698852,1.109421945986928,-0.1127418815178343,1494.6246485358317,2333.0943568571406,875.7949700142138,0.0,0.0,271.1102093817823,17.78137828783533,107.5006727801341,129.5660382243599,99.59586737701198,99.26490850280486,92.60113398494794,103.27231174402284,104.97971269615253,98.50352758682207,40.510797117957694
3503,835.9863267449632,2333.4607620238426,0.25918175922430936,-0.03567087484381353,0.17267523355403414,49,0.0,0.025251847902921874,5.067050768154236,-1.76188813906632,835.9863267449632,2333.4607620238426,1181.3779335730153,0.0,0.0,271.39840213076536,17.781252420918015,134.28536708573063,135.62202832171192,154.40999494923363,143.73286129890246,121.60501247863738,111.89921236534151,153.3238077201792,159.1604390427952,67.33921031048325
3504,2371.0604969732435,2333.9520422727137,0.4528400033113147,-0.04375381215802713,0.07271552488067942,49,0.0,0.04654291435433485,7.820644620008926,-2.233106378613425,2371.0604969732435,2333.9520422727137,1411.9169499548784,0.0,0.0,270.72671605768045,17.781452601840947,147.35155149745356,169.87383677250148,159.76659017576958,184.54571590463425,173.42287695823887,165.3296070485475,177.00199929504333,143.2149525855697,91.40981971712023
3505,2602.86545083528,2336.8053515931138,0.61999195273562,-0.06280663326877692,0.04877396893990997,49,0.0,0.4444458758328916,62.17233845580521,-4.483993006419141,2602.86545083528,2336.8053515931138,5929.524669391134,0.0,0.0,270.6252882164717,17.782441741298204,630.3515804017563,716.577728445598,694.2703938706479,744.8212949046147,700.9734373302674,660.8382948555625,716.1540286451644,719.8320172402086,345.7058936973143
3506,2253.9709132011094,2337.6278594858763,0.6277712203576681,-0.24869776809058958,0.11107121860267911,49,0.0,0.34423625641594935,48.7991304675583,-4.221030208874312,2253.9709132011094,2337.6278594858763,4593.086866124144,0.0,0.0,270.7779463879626,17.78306514152628,501.26344672630694,516.0840215749154,545.5359367238814,551.5832939695604,498.9779991684002,553.4170895506784,543.336130330139,590.7485194174358,292.1404286628251
3507,2915.5945543227976,2337.982718115553,0.5716019529817092,0.2304275394080032,-0.02470838833574153,49,0.0,0.012457784758778168,1.2922816489998434,-0.2783929429634645,2915.5945543227976,2337.982718115553,867.2329044123858,0.0,577.351921609209,270.48845735651673,17.782580150594608,88.73461149189039,85.05595525017333,114.241929109387,99.67168580006113,89.84917575998963,128.07984497208415,92.00041127102284,117.41486021721094,52.18443054056626
3508,1288.6335772666234,2339.559612325734,0.4066893351558181,0.05940103680715025,-0.012308449253053085,49,0.0,0.015731668332481064,2.198155539147607,-0.8551460484757238,1288.6335772666234,2339.559612325734,1017.6090445686497,0.0,0.0,271.200345384407,17.784030250055824,113.51790843793253,113.75359260090843,109.49117622859158,126.29623716087363,110.74685758559878,113.53866377100131,133.9110464803266,117.54806943105666,78.80549287236008
3509,1576.8747366316695,2340.087811369034,0.5923669032376362,-0.6712891252064356,-0.057675884674214584,49,0.0,0.017018042844296578,1.970437394169243,-0.7364066019386323,1576.8747366316695,2340.087811369034,966.4375221444077,0.0,0.0,271.07421989998005,17.784297318885926,134.74001591441936,103.92527761633242,105.6887865127776,113.06297968103885,115.92328040564041,121.39102652387393,105.83749070161551,107.78212352058173,58.08654126812783
3510,1944.604850273138,2340.6715337675,0.5857280719942858,-0.5220354267406068,-0.012127819040789259,49,0.0,0.012329343454018964,1.4293798061442826,-0.3878691055608057,1944.604850273138,2340.6715337675,833.5852324402542,0.0,0.0,270.9133120940945,17.78448325916082,96.44782423666203,108.767459654089,109.25397801092714,106.38951543262927,88.54040940735214,87.37427787148363,97.85147897243112,93.94843426808926,45.0118545865907
3511,1382.3497446848062,2341.5002259787793,0.5904208556132214,-0.14670390429765368,0.09735126497217672,49,0.0,0.03581091522082325,4.669559854481666,-1.673189866416112,1382.3497446848062,2341.5002259787793,1115.5551985490547,0.0,0.0,271.1593385725903,17.784862952014304,115.99509735009201,157.10403784124594,123.43527801808756,140.3036501818305,127.39420084004226,147.722439212278,119.10644331185605,127.85215009017709,56.64190170344526
3512,1757.9425513350793,2340.393373986396,0.5298280375219416,0.5126856790324782,-0.6237657556816834,49,0.0,0.012793772846833527,1.650984373477343,-0.5443574067416628,1757.9425513350793,2340.393373986396,896.3165087981693,0.0,0.0,270.99498990089637,17.78441285818809,105.3857220896376,88.10747192246274,119.63580229341659,114.86417170986624,99.39351194608228,119.89243074176115,113.84822262492224,98.13803067788285,37.05114479213749
