expt,t0,t1
35.41066057134413,906716384.995,906716504.995
106.4483290448986,906716504.995,906716624.995
106.5788476187679,906716624.995,906716744.995
106.6580325276007,906716744.995,906716864.995
106.7245163234348,906716864.995,906716984.995
106.7753095155777,906716984.995,906717104.995
106.768367816851,906717104.995,906717224.995
106.7464955544397,906717224.995,906717344.995
106.7228329755684,906717344.995,906717464.995
104.6973175300853,906717464.995,906717584.995
106.5480913331686,906717584.995,906717704.995
106.3820873358814,906717704.995,906717824.995
81.07231306232455,906717824.995,906717944.995
