expt,t0,t1
97.080797505963,927220543.995,927220663.995
105.3508819447427,927220663.995,927220783.995
105.5437350590029,927220783.995,927220903.995
105.6814148987118,927220903.995,927221023.995
105.7549248421623,927221023.995,927221143.995
105.8323138046092,927221143.995,927221263.995
105.888888930728,927221263.995,927221383.995
105.9141335187981,927221383.995,927221503.995
105.9054746926492,927221503.995,927221623.995
105.8977785838419,927221623.995,927221743.995
105.8532289796048,927221743.995,927221863.995
105.7788463976284,927221863.995,927221983.995
105.6649924046439,927221983.995,927222103.995
105.4763392151608,927222103.995,927222223.995
18.07009582303353,927222223.995,927222343.995
