expt,t0,t1
109.6507516676296,916560290.995,916560410.995
118.7002662511059,916560410.995,916560530.995
118.7317035725225,916560530.995,916560650.995
118.7468071784565,916560650.995,916560770.995
118.7550435641287,916560770.995,916560890.995
118.7671360758202,916560890.995,916561010.995
118.7663017406483,916561010.995,916561130.995
118.7669060988177,916561130.995,916561250.995
118.7624937493504,916561250.995,916561370.995
118.757509131528,916561370.995,916561490.995
118.7402662046402,916561490.995,916561610.995
118.7346023524149,916561610.995,916561730.995
118.7219536172754,916561730.995,916561850.995
118.699335646491,916561850.995,916561970.995
31.61054931945403,916561970.995,916562090.995
