expt,t0,t1
100.1687205356799,877390320.995,877390440.995
109.46976956732,877390440.995,877390560.995
109.6642778798166,877390560.995,877390680.995
109.8213528145081,877390680.995,877390800.995
109.9414560253244,877390800.995,877390920.995
110.0038637547529,877390920.995,877391040.995
110.0486610757328,877391040.995,877391160.995
110.0505302111564,877391160.995,877391280.995
110.0258598755357,877391280.995,877391400.995
109.9691946706012,877391400.995,877391520.995
109.8850272772809,877391520.995,877391640.995
109.7652111926893,877391640.995,877391760.995
109.5621735423412,877391760.995,877391880.995
106.3288687889874,877391880.995,877392000.995
