expt,t0,t1
99.09780240212548,781976385.995,781976505.995
106.4884310076157,781976505.995,781976625.995
106.7316156600888,781976625.995,781976745.995
106.8926033933326,781976745.995,781976865.995
106.9918589882649,781976865.995,781976985.995
107.075868743658,781976985.995,781977105.995
107.119528819591,781977105.995,781977225.995
107.1436023830585,781977225.995,781977345.995
107.1257161082371,781977345.995,781977465.995
107.1151149576269,781977465.995,781977585.995
107.029523193035,781977585.995,781977705.995
106.9152525855284,781977705.995,781977825.995
106.746861499628,781977825.995,781977945.995
106.4776834789302,781977945.995,781978065.995
4.07791321313501,781978065.995,781978185.995
