id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7,aperture_sum_8,aperture_sum_9,aperture_sum_10,aperture_sum_11,aperture_sum_12,aperture_sum_13,aperture_sum_14
397,1392.3970489472008,858.2964441663554,0.44799266958025163,-0.2324045776906153,0.14595000211518758,49,0.0,0.010146855453100246,1.0997944518775087,-0.10327881117547878,1392.3970489472008,858.2964441663554,837.8061406102584,0.0,108.05963415394426,323.11558878790754,-0.06316933863508303,95.13680695197526,29.460410928906747,50.64354642725037,0.0,0.0,15.28544931873457,109.38980286339202,73.23526322170054,63.27267243937604,82.33895148825574,60.645198719545064,91.5274372696282,83.17326380129106,83.06725118301509,0.6300859971875633
398,2419.833434873128,859.1221314979033,0.8259826412821121,-0.6310801213221495,-0.009037586620093262,49,0.0,0.012486652336315766,1.1284194301940624,-0.13117638910315685,2419.833434873128,859.1221314979033,696.1241228934194,0.0,138.62124858766083,322.68750036639074,-0.06282426944004045,98.72227746857139,35.58954708580893,73.12826870324028,146.99403055248342,19.098753668062336,0.0,0.0,0.0,0.0,0.0,78.11853985598006,72.52083340206278,80.02813836497876,89.6843329886542,2.2394008035772712
399,1350.030313377602,860.4288728596248,0.7298559413419049,0.279024096105944,0.4440727595811851,49,0.0,0.06085388974917323,7.438738350074803,-2.178748207794902,1350.030313377602,860.4288728596248,1430.1852060626693,0.0,189.3001638933883,323.13324130572704,-0.06228082151196424,142.04501086455173,57.97768595094497,105.70420979281394,0.0,0.0,28.101305208030023,194.3423830969149,105.83498344348007,101.94398350160252,161.6608977260457,112.50138718384628,121.36814780532822,144.83128721914778,146.28400932484635,7.589914945116882
400,1533.4172089650601,861.4742931542191,0.5338159634685227,-0.4239457776161606,0.31899248916495937,49,0.0,0.06937462177828303,9.757876006190399,-2.473388238025002,1533.4172089650601,861.4742931542191,2064.8548561746447,0.0,288.7696362580489,323.05683127481154,-0.061845338275245416,179.58619209143916,65.58204925975227,134.75349840191762,324.9733875707037,0.7234195026090829,47.283066925984286,206.326974241874,155.9823127442192,127.90589295277915,186.05960269190106,130.21015394819207,152.20681473034966,199.97169459526899,149.7976545804537,3.4921419372007483
401,1319.4010563520453,861.7314501708782,0.6206348449267749,-0.14848494970660264,0.21505865774709376,49,0.0,0.5511958291558323,74.77116439173864,-4.684335359633597,1319.4010563520453,861.7314501708782,9940.084134510756,0.0,1066.7671138785088,323.14600327590375,-0.061738070979543945,1034.431931896345,387.4833536833564,754.8240652030889,0.0,0.0,203.44224871002527,1256.2322582805482,851.8370369864238,726.5466339729749,1077.1713023090592,870.8867290587955,782.0387201288336,1016.2644360906916,953.4122038090168,25.513214381597912
402,995.7764326951811,863.5091221320274,0.6293876653876755,0.20166464315096558,0.2545510250567646,49,0.0,0.0598741148845575,8.100750256108485,-2.271313107998751,995.7764326951811,863.5091221320274,1448.3056255031252,0.0,0.0,323.2808435542871,-0.060996934840976055,165.47768777797205,25.003087324243957,0.0,0.0,0.0,13.186105838277497,158.89892948169168,133.02093216669067,101.32000161857292,197.92697695956048,154.1681382257071,144.8665530248029,192.45556100303364,159.84649376791788,2.135158314654383
403,1988.1560066080294,865.696090217795,0.5273520600576482,0.17873320426633224,0.37250283378449905,49,0.0,0.07830204534953722,11.502217768895447,-2.651953964347607,1988.1560066080294,865.696090217795,1979.126738525172,25.06275841505861,3.4235000823902957,322.8673598105058,-0.06008607528496579,260.2063789808493,114.86354294573212,166.06729151098943,224.11454668482492,38.95936241524308,0.0,0.0,0.0,34.359625881634145,246.66775374171925,214.02656100579486,207.12555855940883,241.22989626717467,225.50142670017786,6.004793831623432
404,1508.750778163061,869.1415529785953,0.2991277459743784,-0.06331160941356051,-0.5710066688292667,49,0.0,0.0062293910162539105,1.137197442582359,-0.13958968586113116,1508.750778163061,869.1415529785953,781.322420735142,0.0,139.78551958628745,323.06710881757374,-0.0586507323035898,59.64407574819554,24.983374837536516,40.287308286647004,136.47698797121132,34.46117260301384,8.330939383998063,93.12606739729203,56.714896199201704,44.25160627661984,50.903702877734965,44.2347214904252,58.7795117306313,68.47880902963095,60.6492469030038,0.0
405,2837.557470855515,873.1636170224879,0.4654606483692005,-0.035474945501636705,0.040222685274383774,49,0.0,0.05794352919092968,9.55271226271383,-2.450316741392125,2837.557470855515,873.1636170224879,1278.745463990978,0.0,0.0,322.513460747605,-0.056972627184137474,0.0,111.05486224483953,264.9190949692617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.8945846683299,377.9939202800279,357.65716396917685,12.225837859342022
406,234.53733050798544,873.7846948690468,0.47511057726161726,0.1505948121594239,-0.08414315755684552,49,0.0,0.008884516176163431,1.35595600443783,-0.3306139964311325,234.53733050798544,873.7846948690468,450.4968944243035,0.0,0.0,323.59800522617456,-0.05671335931472491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.53490672651549,71.8593869073448,78.89254123704028,66.57761282211015,72.06357998944642,79.56886674184636,0.0,0.0
407,531.4206568589377,874.992930532698,0.4965444581642849,0.10800064493572195,0.27933718340068064,49,0.0,0.03172988101934461,4.7044440272991315,-1.6812707643374238,531.4206568589377,874.992930532698,1161.3042308067277,0.0,406.8980779309508,323.474315268185,-0.056211041058484665,130.5218035500665,16.00812046505296,0.0,0.0,0.0,14.455335027917286,162.8001162399674,102.05332747224841,111.54023178865,142.67344781601582,82.89937451419357,107.647509554634,145.2760736263471,144.3304247274078,1.0984660242267583
408,108.82342479151951,876.3797296909911,0.5401444666548134,0.016809622453660703,0.1327788088199808,49,0.0,0.20587918103473038,31.231297865068896,-3.7364750809666045,108.82342479151951,876.3797296909911,3921.2877683527813,0.0,341.2303135523291,323.6503797066369,-0.055631649841594105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.6872863416265,554.0751266622888,792.2444279687057,597.6903970882922,632.1639768158662,763.4265534760013,0.0,0.0
