id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7
5603,2428.0532966790734,2621.174605520026,0.4636844899530201,-0.14087865020305526,0.23293025496187872,49,0.0,0.040783984520848825,5.7536417191905365,-1.8998570369066976,2428.0532966790734,2621.174605520026,1252.3440966524172,0.0,0.0,279.2357062625848,25.80423311922488,167.96907960133518,164.02051657442343,185.21807598386098,174.50563418227634,168.5665639273326,177.73418947254743,129.95051480631133,84.37952210432977
5604,2363.5085277071316,2621.7258662543827,0.21565525731877788,-0.3381193627687249,0.2697602104823057,49,0.0,0.012204248367401267,1.5223545475833338,-0.45628952222850305,2363.5085277071316,2621.7258662543827,845.3928707921311,0.0,0.0,279.26557598332425,25.804537991845187,117.7503288869236,117.8059264994726,111.26088971384513,105.04740815005272,112.79269621555773,126.20154145569064,114.58555451210516,39.94852535848342
5605,2020.2713575912705,2625.754653787717,0.6665916141072552,0.024904104078121915,0.26715660945110437,49,0.0,0.01771799945311943,1.9178748817892615,-0.7070506782011515,2020.2713575912705,2625.754653787717,776.0405649536779,0.0,0.0,279.42442165514734,25.80651392597342,90.22140204843993,121.94343464135092,105.39066296225319,96.13146622612426,105.71069335692972,96.70691909239508,104.7078170040237,55.22816962216105
5606,1937.3505221996002,2627.490460002691,0.37168575736535603,-0.47854934358202744,-0.46542690561957695,49,0.0,0.008927481325706548,1.2970445960839578,-0.28238727155216814,1937.3505221996002,2627.490460002691,692.0843143054974,0.0,0.0,279.46279712642405,25.807283096690313,86.92194862711213,97.82091406450607,100.41589973477411,89.49398621603422,100.21357524588043,89.33680051767365,101.91754306660542,25.96364683291141
5607,673.7719744169228,2629.1138341782926,0.48647294879902064,-0.5399026593748898,0.6609569916503103,49,0.0,1.9766118489953177,272.1690789085032,-6.0870969588342705,673.7719744169228,2629.1138341782926,37364.40719939317,0.0,0.0,280.0475941271783,25.807413420650914,4735.657059037892,4929.00365377741,4970.33650950074,4997.029450993218,5143.205710991075,5178.5235458995085,4937.375255964057,2473.276013229269
5608,1126.9367205406652,2628.775002413423,0.6702942716706145,-0.23673908474750788,0.4222497497912936,49,0.0,0.07365520890659893,8.944957906457848,-2.378945752969465,1126.9367205406652,2628.775002413423,1461.025587187567,0.0,0.0,279.8378682344286,25.807737122498615,182.57713077330936,202.03597515945802,207.475312715989,204.66114109563628,189.91848636749694,208.30033193315077,176.81563903537352,89.24157010715331
5609,509.1009102996812,2629.9463466256825,0.3310920232827766,0.9573129387332532,-0.3255618995744705,49,0.0,0.009477207788887852,2.062663296061023,-0.7860708515651111,509.1009102996812,2629.9463466256825,993.870734834862,0.0,438.70594192717704,280.12380316005556,25.807516819285816,192.42695332701464,71.42353029147307,196.39183733389018,118.15628042578496,109.16026008766012,127.32441193976412,159.46381220938434,19.52364921989059
5610,2193.1395474473525,2629.6009315415804,0.8843364293504453,-0.110205479828517,-0.5638410984965772,49,0.0,0.014838214820738063,1.1591614378726511,-0.16035981228770463,2193.1395474473525,2629.6009315415804,802.7595157453866,0.0,0.0,279.3444138592148,25.807988226080237,84.04781035028344,122.5321154925195,131.32236617864476,111.59837102350116,101.07864820377847,106.70195018935215,107.40716246950592,38.071091837801106
5611,2436.7218540520776,2630.206130672519,0.9892474903465012,-0.8065046398013761,-0.24441498896114847,49,0.0,0.01994620508223745,1.6799962156933932,-0.5632707586222044,2436.7218540520776,2630.206130672519,841.8563287383142,0.0,0.0,279.23168249311544,25.807985396125428,123.40539412595092,120.89537966340231,124.81805383640369,94.86749662793571,113.17049872034804,115.21110423083971,95.7532050266602,53.73519650677369
5612,1859.2617949784549,2632.4239150279536,0.8411833439188443,0.4076333056940672,0.3454403221476429,49,0.0,0.05182865583435106,5.651797352210625,-1.880466454069012,1859.2617949784549,2632.4239150279536,999.1893528852839,0.0,0.0,279.49893549743905,25.80937265667976,120.18458265922816,128.59202169532722,113.04277063120068,145.0442080922163,137.34979218951568,140.16092651948662,147.6635028065682,67.15154829174111
5613,2135.4767137161193,2632.4127963808373,0.6103769597635879,0.18501960503313536,0.22451557044341028,49,0.0,0.07153256767592095,9.132515245128783,-2.401476014657129,2135.4767137161193,2632.4127963808373,1469.097117429598,2.800588148739191,0.0,279.37109830876364,25.809207395086055,182.47081295005296,197.3806189677958,224.82039122702702,208.0805178602385,169.72229483484307,192.7928010037244,214.55481161791565,79.27486896800059
5614,2340.082460373883,2632.26085625393,0.37744283039451065,0.4967090455246384,0.42831359561599197,49,0.0,0.010452730104944968,1.1889996159591303,-0.18795428585947604,2340.082460373883,2632.26085625393,780.8224980360822,0.0,0.0,279.2764048166308,25.80895303192646,98.81535254697633,89.23635296593044,116.2968717920013,118.44627335637774,110.34219804256848,120.75239689093135,87.82488745945562,39.10816498184088
5615,2037.851547018239,2635.9166868114407,0.5609948749683309,0.059670386491611674,0.060432335015054066,49,0.0,0.02814684093774033,3.5231544138852384,-1.3673291949731743,2037.851547018239,2635.9166868114407,921.1104446437952,0.0,0.0,279.4162783063495,25.810736803862515,128.0731338501952,118.55920931475893,127.4233013238286,120.06750661736422,115.39633428199502,135.71980229340892,120.49368216792914,55.37747479431513
5616,839.9894786168322,2636.6229173666634,0.2849897678012079,-0.9326961427961776,-0.2830694454797533,49,0.0,0.006161121532913693,1.0010854508947813,-0.0011778741882406234,839.9894786168322,2636.6229173666634,694.6934287625434,0.0,0.0,279.9706784906022,25.81074742036803,89.23524636070437,89.35077435927712,110.88321012012037,92.98415327750385,102.57851330057939,74.20015018700175,89.7621447809617,45.69923637639473
5617,1388.335214196195,2637.0643931584314,0.9020201157047952,0.1566831164771875,-0.12298801718962911,49,0.0,0.011856455645060179,1.1279623448661658,-0.13073650423842792,1388.335214196195,2637.0643931584314,700.4569502837024,0.0,0.0,279.7168923683165,25.81132215442565,85.58905451037145,91.25616326449985,91.11743956038998,94.76714642181959,91.71910722658674,100.41279172415409,103.1080702022881,42.487177373592644
