expt,t0,t1
108.8080250091948,888341260.995,888341380.995
117.8736005447321,888341380.995,888341500.995
117.9259390318675,888341500.995,888341620.995
117.9691105287158,888341620.995,888341740.995
117.9916108368477,888341740.995,888341860.995
118.001836791007,888341860.995,888341980.995
118.0204702765148,888341980.995,888342100.995
118.0216201615275,888342100.995,888342220.995
118.0214757573632,888342220.995,888342340.995
118.010779152594,888342340.995,888342460.995
118.0159990957213,888342460.995,888342580.995
118.0086023935235,888342580.995,888342700.995
48.14379628705411,888342700.995,888342820.995
