expt,t0,t1
93.0085184731983,908076807.995,908076927.995
118.9676492805203,908076927.995,908077047.995
118.997407234988,908077047.995,908077167.995
119.0214638991138,908077167.995,908077287.995
119.0357224732711,908077287.995,908077407.995
119.0475582664482,908077407.995,908077527.995
110.9274626597348,908077527.995,908077647.995
119.0586666905009,908077647.995,908077767.995
119.0572654352762,908077767.995,908077887.995
28.59415469595402,908077887.995,908078007.995
8.01320009611291,908078367.995,908078487.995
