id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7,aperture_sum_8,aperture_sum_9,aperture_sum_10,aperture_sum_11
389,1995.7754556567963,808.2540463876736,0.624604905533427,0.09215156876797702,-0.009917989930210319,49,0.0,0.0198170844415429,2.4062102592172887,-0.9533339353442573,1995.7754556567963,808.2540463876736,1085.397744268554,0.0,0.0,260.1206944590646,60.50188403446882,104.31440288186039,92.50099113891682,90.57861194249624,92.88973697027846,100.70407434441572,97.63932592173734,75.46765697270395,75.687505469137,106.00275939971657,88.59948175212332,94.91248535302907,66.10071212213906
390,2051.692056506943,808.7338336330431,0.7964113808815584,0.4710760520728058,-0.04806931221914526,49,0.0,0.013907433362828216,1.3603270042423519,-0.3341082986227194,2051.692056506943,808.7338336330431,849.7182496855967,0.0,0.0,260.07337726014475,60.50195718485112,69.08971571785455,69.81381756232877,71.41050570421581,62.952652321357306,68.69923636223857,91.78269672539284,72.07680723361665,75.04544849669526,86.14683599975109,59.23981142087322,63.34743366256017,60.11328847871246
391,2018.6192354214008,808.881537684296,0.2905487922722577,-0.04745123458651056,0.5796464783072379,49,0.0,0.008456245629902933,1.2557947213469312,-0.2472966329924835,2018.6192354214008,808.881537684296,939.7489256212434,0.0,0.0,260.1013618624617,60.502095717049606,79.98726881005393,98.10459191038711,95.63129119912813,80.4715870567064,65.48571784787583,82.19659305552847,64.58937562926818,66.74286568771225,91.89079708302694,65.50430268030914,78.16624020592724,70.97829445531971
392,2399.717925251585,810.5487479372963,0.5175652583848399,0.3024870359115061,0.16816522791037308,49,0.0,1.1696411570246923,175.08419256753285,-5.608117344212181,2399.717925251585,810.5487479372963,26476.327219212442,0.0,0.0,259.77888550006486,60.50154799626579,2021.2059810102874,2224.6589910393004,2322.043984880879,2169.316482220618,2162.352297841644,2266.9311635136373,2208.8905635493315,2241.7269414973966,2301.9654835130414,2382.0056580653927,2337.5747736959065,1837.6548983850107
393,1098.4294760432012,815.3585638320571,0.6062798222701501,0.3976580577255593,0.2002232033717586,49,0.0,0.2612426508391333,37.994427288348106,-3.9492997563184473,1098.4294760432012,815.3585638320571,4902.031487149745,0.0,0.0,260.88005693685716,60.50458744180589,400.14162437061685,418.01519496744856,400.54702694035706,417.83725638827457,429.619074434876,417.4662493378838,401.22292772665503,430.9511219293197,427.6595043641729,414.2602062421173,419.53420202657753,324.7770984214453
394,1196.0671639603547,816.8697529631365,0.9846417853939226,0.5875530013828091,-0.0379298530798161,49,0.0,0.013693873266028828,1.091480724837069,-0.09504017656545208,1196.0671639603547,816.8697529631365,939.4949554827782,0.0,0.0,260.79743863758404,60.50545411894064,71.28978538087104,68.95097861510064,78.34988769609917,63.86591416923566,76.2224531757422,64.99736820500206,103.51921894857838,77.61654706430002,83.0125382773817,90.12497611495715,92.9407522484759,68.60453558703432
395,951.8529786053832,818.3519508594272,0.9876084885021823,-0.7979665639096312,0.14605837594983598,49,0.0,0.01338881594620179,1.1497531561622505,-0.15151152604999568,951.8529786053832,818.3519508594272,916.183324713543,0.0,0.0,261.0041136777411,60.50538286644922,66.73099843736733,62.81803984816693,86.26278112548755,83.88350355422006,82.48121615550835,79.17302463985891,79.01123291933227,78.38222132524774,73.55363815862452,81.10125141119104,72.77167092660059,70.01374621193771
396,2133.290471105619,818.8636586872398,0.45651049988332765,-0.005772445954736978,0.07248142246915097,49,0.0,0.04204972373840753,7.044792270495824,-2.119670479025974,2133.290471105619,818.8636586872398,1418.496550641426,0.0,0.0,260.00427291813804,60.505962662852454,109.04487896913653,146.2331063075817,110.24745299792049,121.18590670968267,123.0740443703699,105.64555831506502,123.4505458165727,131.94176198440388,118.10625070655016,110.87285591377535,124.20174451478985,94.4924440355777
397,416.1060064606977,821.1973014786838,0.6862970042474154,0.13313678672867021,0.36370451706477885,49,0.0,0.012899498721273417,1.098991445813144,-0.10248578007918366,416.1060064606977,821.1973014786838,1056.5018705157277,0.0,0.0,261.4574737191678,60.503938233208295,76.84210884742731,102.02616548959006,90.94386314866209,88.53648926327139,81.57748612664324,75.39171872099203,85.20597227375109,82.12827723451113,78.95123872117935,116.20343065609376,100.82037365537815,77.87474637822812
398,802.0151730477011,821.2824160212128,0.5815797428942521,0.11486396946337517,0.15555018304910787,49,0.0,0.010416819219439039,1.0803933383613835,-0.08395474422677154,802.0151730477011,821.2824160212128,947.6593072539495,0.0,0.0,261.1309341084518,60.50602303630536,82.23737828496824,79.52724457913473,81.16541169295593,67.3195808298104,70.97748423275542,66.95480975588947,86.57297442609203,93.05825647305807,92.80366549219855,87.67244004730182,69.04771156121134,70.32234987857352
399,473.6426978453284,823.7365222045545,0.9665453501524197,-0.037815113102358654,0.19326661705416887,49,0.0,0.013032821805320111,1.0904149602969557,-0.09397950327400173,473.6426978453284,823.7365222045545,945.3907638000237,0.0,0.0,261.40882339708634,60.505352186213784,79.82931747751653,91.19759187139448,72.76935659601833,68.19971214429336,76.6351217321067,75.43818909030232,60.687571134995096,84.90813597748303,95.79532082953298,82.1338864539556,74.9781499063589,82.81841058606642
400,1071.7541746009892,823.0055766099167,0.6659446614526917,0.38339471364643457,0.284941824651567,49,0.0,0.07160149012559486,9.21685738079017,-2.4114571684602875,1071.7541746009892,823.0055766099167,1822.2443737950707,0.0,0.0,260.9026744994101,60.50769985324626,144.42465808800353,157.3428881227336,146.9662610996482,159.87296782263957,148.1650759100153,192.50337638362254,160.87945222106472,144.8032079880327,152.6130669672625,160.92570579074282,124.22318227243828,129.52453112886707
401,536.6700003692375,824.8895451862894,0.5701186910158101,0.40886498457507314,0.2707123498744072,49,0.0,0.049707704068353016,6.963891094687203,-2.107129926882108,536.6700003692375,824.8895451862894,1605.2915844775262,0.0,0.0,261.3555063286885,60.50620232183778,139.81721903609278,138.39010046592827,135.4369461416312,129.55872527116168,137.8199773198865,124.01739258785202,112.26557266924577,125.41893412308386,139.8398253197255,174.02011386779125,140.94513508251896,107.76164259260831
