id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6
127,926.5232543989885,1888.432261143849,0.5527488798021621,0.14014265369244283,-0.16221583230096956,49,0.0,0.02234987939505832,3.6502193025132272,-1.4057973933400045,926.5232543989885,1888.432261143849,270.96679744157984,0.0,0.0,75.37028100266573,-25.83909247549386,34.039523484854655,54.514204558277726,43.14834824977247,24.73601955309229,33.63588539833957,47.01715226966664,33.8756639275765
128,626.4995190023471,1909.5374543040841,0.7310365893583273,-0.42723630771890225,-0.28662340165357697,49,0.0,0.023810729351585302,2.8451358657513,-1.1352575259816577,626.4995190023471,1909.5374543040841,364.0577779387871,3.0,0.0,75.50913775273676,-25.82993622410512,44.19410093941923,57.57041200065574,68.92958227856909,51.39306255479667,42.70669636709343,39.9788992037791,59.28502459447392
129,2770.881192482937,1924.4477439255365,0.20153813817464716,0.879926227149367,0.1672984059263785,49,0.0,0.00822768379756352,1.573322247736147,-0.4920442097373646,2770.881192482937,1924.4477439255365,384.77785576647625,0.0,0.0,74.51651979332934,-25.823415100935044,53.6809478632983,59.1336618107362,60.33328931002437,55.25833248997593,60.88319718042088,50.45043043386426,45.03799667815633
130,1326.751208969744,1938.6514776649346,0.42410260623361484,0.19946274312209616,0.13586345346958145,49,0.0,0.04281279704162691,8.104082615830148,-2.2717596493085788,1326.751208969744,1938.6514776649346,575.8410942676946,0.0,0.0,75.18497498701855,-25.818446246380038,75.548121984309,67.83399877257557,88.87066131146935,94.54200419835496,81.93491213345463,92.74295060276083,74.36844526477037
131,2577.206180881012,1939.1222705104076,0.41500436968629323,-0.14321583705673538,-0.025583403366550152,49,0.0,0.011228249746326423,2.096411248697522,-0.8036912033183231,2577.206180881012,1939.1222705104076,224.90173888366877,0.0,0.0,74.60618733225381,-25.817605799653297,25.918859513695374,31.214953008209694,35.69156322731355,26.27768526481493,32.48648344638103,46.822889190915106,26.489305232339092
132,984.1258335703236,1949.6562652967077,0.43955975590402147,-0.25020908657325824,-0.24634126887492766,49,0.0,0.010136367963760742,1.8794695407117064,-0.685088229476774,984.1258335703236,1949.6562652967077,180.56045757717754,0.0,0.0,75.34355271445409,-25.813637458901898,39.467019800478816,22.1138180450766,25.848258273666232,21.405976706870973,24.67656717045854,21.091972953408977,25.956844627217393
133,2696.495240911429,1951.0944468965413,0.7100993853365474,0.3303939907663133,0.39929193322373635,49,0.0,0.015106799612310892,1.720209833368926,-0.5889535648211593,2696.495240911429,1951.0944468965413,295.7549459337199,0.0,0.0,74.55099745553699,-25.81243640377253,47.60416649954426,39.191783827953444,35.030870744898536,49.913748632160775,43.37247620920967,36.07835776740579,44.56354225254742
134,2562.922919222727,1957.8989922053602,0.4971354262869783,-0.05621329372721873,-0.6123064120547261,49,0.0,0.010961818967627528,1.42935156967955,-0.38784765733918203,2562.922919222727,1957.8989922053602,258.37349541026197,0.0,0.0,74.61282778355643,-25.80980275279189,42.03140399951205,41.34313314813156,38.8083682102084,31.037081801913242,45.179078086802654,30.40772758658435,29.566702577109737
135,2737.6461288755995,2053.2208975202657,0.6674587935664101,0.38692136271048644,-0.3890351543396261,49,0.0,0.009378288138734621,1.0643342670420897,-0.06769511203391285,2737.6461288755995,2053.2208975202657,254.4761064475631,0.0,0.0,74.53214232401287,-25.769818542981145,39.144537014368694,34.64628069664042,46.63211720366543,41.31007852532868,31.888177915489436,36.034906662274395,24.82000842979604
136,2345.104172157226,2072.7998089486064,0.5656046361243444,0.04033461892417076,-0.016855601907123107,49,0.0,0.020826030029550115,3.1843058708049274,-1.2575369438501856,2345.104172157226,2072.7998089486064,306.74980813651155,0.0,0.0,74.71377780963306,-25.76220114968525,45.73913452148007,51.81803070187087,44.741581505664314,45.51474325159805,49.79284406862172,38.5739252249717,30.569548862304828
137,633.0507323513775,2082.241690470286,0.4857793761422776,0.14074259858137075,-0.19574427456427146,49,0.0,0.024061698710698,4.29649775214308,-1.5827864722820728,633.0507323513775,2082.241690470286,319.6522192469192,2.0,0.0,75.50583190765802,-25.757988259056344,52.557781448335504,34.89514624867481,35.55913107529051,39.24779353431451,48.352962050432005,70.78569279047858,38.253712099393255
138,1598.3231849315655,2084.1158212705323,0.7829254554376933,0.25702419519128744,-0.049431083007356526,49,0.0,0.028214892319695997,3.6675899379218713,-1.4109519314173142,1598.3231849315655,2084.1158212705323,247.25578520693526,0.0,0.0,75.05927217612711,-25.757891576174423,30.566417372469807,49.1483828408727,39.41581257393584,28.443658535160893,35.48744274487241,29.887514652850047,34.306556486773545
139,2713.655160474789,2216.5170823927724,0.7115839545138367,-0.4529207261782291,0.025982528812191992,49,0.0,0.014745179134651683,1.5768932693975772,-0.49450574873076847,2713.655160474789,2216.5170823927724,328.8631869351632,0.0,0.0,74.5435387062324,-25.70182174078134,49.20513918429752,48.420279010750576,50.22755924458609,47.09666561956307,47.18015729024667,40.87001461671672,45.86337196900257
140,2048.168077647568,2219.9857122798217,0.7637974809505067,0.2356410874720855,0.1323115791102881,49,0.0,0.014948973741823732,1.6454179451741415,-0.5406905736914045,2048.168077647568,2219.9857122798217,263.97502077537484,0.0,0.0,74.85125986991129,-25.701133911573404,31.758353044979344,40.75255653003233,44.38023476583461,48.76579111425703,37.32525896585848,28.1103288684343,32.88249748597876
141,319.21646520896724,2249.8251325616066,0.27917521136752177,0.26046314853546365,-0.39372523234979406,49,0.0,0.004425889254184178,1.299553284321322,-0.2844852278925013,319.21646520896724,2249.8251325616066,113.14744575311457,0.0,24.42959541327121,75.65065971964562,-25.687650898730904,24.334761946300922,39.58682992410927,3.803550723808565,5.839999600010595,13.414557575129844,4.359420588221491,21.808325395533892
142,1105.9806671796275,2252.974994704235,0.6320993905606794,-0.09216854170199186,-0.043956584281324686,49,0.0,0.02540549006771125,3.926653996209096,-1.485056585899847,1105.9806671796275,2252.974994704235,254.35624004973408,0.0,0.0,75.28690787738213,-25.687356594371572,31.064740461413244,38.84324599750512,36.28743015487642,42.58251415263323,33.67264950128244,38.09798140484168,33.80767837718196
