expt,t0,t1
107.4537753224519,818787913.995,818788033.995
118.3123538791529,818788033.995,818788153.995
118.3480912356866,818788153.995,818788273.995
118.3705487573994,818788273.995,818788393.995
118.3848554662782,818788393.995,818788513.995
118.3800312975273,818788513.995,818788633.995
118.3749664551691,818788633.995,818788753.995
118.3451015346536,818788753.995,818788873.995
118.3039677410139,818788873.995,818788993.995
118.2289845415822,818788993.995,818789113.995
118.1222324259861,818789113.995,818789233.995
46.17373006800261,818789233.995,818789353.995
