expt,t0,t1
96.37522142353241,913004715.995,913004835.995
102.4489718351051,913004835.995,913004955.995
108.5352934355921,913004955.995,913005075.995
108.6025376414733,913005075.995,913005195.995
108.6401629487488,913005195.995,913005315.995
108.6713970346746,913005315.995,913005435.995
104.6985617299839,913005435.995,913005555.995
104.7153821409833,913005555.995,913005675.995
108.7219759303256,913005675.995,913005795.995
108.7414437510054,913005795.995,913005915.995
104.7529753584445,913005915.995,913006035.995
104.7448512871223,913006035.995,913006155.995
104.730480398615,913006155.995,913006275.995
108.6950097897026,913006275.995,913006395.995
28.78525911508622,913006395.995,913006515.995
