expt,t0,t1
110.3576529861496,780337283.995,780337403.995
116.3879811981598,780337403.995,780337523.995
112.4384150221484,780337523.995,780337643.995
116.4540273843069,780337643.995,780337763.995
116.4647614271928,780337763.995,780337883.995
116.4745327756494,780337883.995,780338003.995
116.4817155457518,780338003.995,780338123.995
116.4817208940542,780338123.995,780338243.995
116.4784958677163,780338243.995,780338363.995
116.4615845355763,780338363.995,780338483.995
116.4514869406742,780338483.995,780338603.995
116.4199105633957,780338603.995,780338723.995
116.3804026536809,780338723.995,780338843.995
71.61119732480766,780338843.995,780338963.995
