expt,t0,t1
110.4209788888767,773058624.995,773058744.995
112.5293429735125,773058744.995,773058864.995
116.5338080109776,773058864.995,773058984.995
116.5764339809826,773058984.995,773059104.995
116.6036568401201,773059104.995,773059224.995
112.6228030951589,773059224.995,773059344.995
116.6322221231561,773059344.995,773059464.995
116.6356343400775,773059464.995,773059584.995
116.6225470441424,773059584.995,773059704.995
116.609983881841,773059704.995,773059824.995
116.586772249492,773059824.995,773059944.995
116.5486923365139,773059944.995,773060064.995
116.488727170178,773060064.995,773060184.995
114.3928762298376,773060184.995,773060304.995
