expt,t0,t1
102.6056654292978,793533427.995,793533547.995
108.9327252986764,793533547.995,793533667.995
109.1439939007994,793533667.995,793533787.995
109.3057810835317,793533787.995,793533907.995
108.3236861155113,793533907.995,793534027.995
104.7071535286589,793534027.995,793534147.995
105.5373224281231,793534147.995,793534267.995
105.537125380714,793534267.995,793534387.995
105.5132094551739,793534387.995,793534507.995
109.4310919758744,793534507.995,793534627.995
109.3126721129246,793534627.995,793534747.995
109.1459868945944,793534747.995,793534867.995
108.8626608699224,793534867.995,793534987.995
95.54995598201008,793534987.995,793535107.995
