id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7,aperture_sum_8,aperture_sum_9,aperture_sum_10,aperture_sum_11,aperture_sum_12,aperture_sum_13
17,1353.7667932361567,865.9800533590397,0.7842482447637872,0.14127319500481855,-0.08348155819563445,49,0.0,0.019231342580763925,2.454311651466337,-0.9748242728299334,1353.7667932361567,865.9800533590397,326.12464290297237,0.0,0.0,353.4421083126274,-0.14558543820772402,17.085952063066372,29.037263046790887,27.39390674897603,22.902235436637888,25.271975920022477,22.220202601661228,29.53867015418442,21.503580374409484,24.984659111888497,25.86095594282113,17.462884583732645,20.81931379487461,26.988936554820132,15.05410656908657
18,2194.269340834138,877.8310587803484,0.8351459621007663,0.26814641790021254,-0.31970896123139025,49,0.0,0.015191504653180329,1.6224770353114737,-0.5254463961801116,2194.269340834138,877.8310587803484,439.68071491413036,0.0,0.0,353.0919043714994,-0.14064658110325126,29.43290084624593,23.41357706132964,34.0729670290967,28.404144839034075,46.931722791518766,32.25459065575073,27.03545695209681,33.05116932298255,31.653361947394163,41.256695324978864,35.56647644983367,24.32610946547689,33.954982395770365,18.326559832621193
19,1319.5368943321994,911.9903555323216,0.4676454155357004,-0.452851989269244,-0.09303202879766707,49,0.0,0.006341234778789185,1.0628970870431242,-0.06622804208682048,1319.5368943321994,911.9903555323216,261.445660653567,0.0,0.0,353.4563706701949,-0.12641496288173007,19.512566177034998,20.506247307343536,18.464684128094124,23.906156448897057,21.6334169039647,15.02261692769209,21.67281741148252,15.536749723392866,20.271517174974697,14.662464633931856,19.97190036381464,11.325351803788024,17.85014445975711,21.109027189398827
20,623.5446892834854,934.5167274398196,0.5849601921533417,0.10726049834977916,-0.08716523548248262,49,0.0,0.04135079968948469,6.33330924879821,-2.0040767367142616,623.5446892834854,934.5167274398196,905.0020876857691,2.0,0.0,353.746357994236,-0.11702651275121019,72.26956253745045,59.77202303583767,60.755471401166425,80.40411550170944,65.87212996582727,80.93035585590187,64.23450397496873,59.17071331873639,63.333025569944986,61.25115561874732,71.20648925971335,48.958731421858836,65.53280729720534,51.31100292670108
21,1510.5068089438741,945.181842070043,0.6077050386250687,0.04524720125939406,-0.09446230033565936,49,0.0,0.0069848025845905826,1.0665471164750788,-0.06995011470774953,1510.5068089438741,945.181842070043,203.83224654973228,0.0,0.0,353.37680085906055,-0.11258574684129047,17.221437857436527,14.927430519123538,16.19308979189671,16.84799866056913,15.312990903238816,16.65014641219313,17.156867057114223,12.542150784575696,21.15827145501177,8.107530930083922,10.109347709827894,14.882636498589818,14.631121753142157,8.091226216928955
22,1622.687254353673,953.0767732306274,0.2444236190516631,-0.2208416599866698,-0.1548815457846022,49,0.0,0.004820740774041351,1.189194176280861,-0.18813193428028438,1622.687254353673,953.0767732306274,228.8133599301417,7.2045505154756135,0.0,353.3300594512832,-0.10929628868932816,23.64448081273519,10.544720496175433,16.644032604199538,18.807636847304657,13.064090835244743,13.825959408303937,14.913663820896591,16.077377086697872,8.40682140106042,16.81636331318494,21.328658170505815,18.23120683826995,25.80382698938407,10.704521306178599
23,2340.213787973067,984.1226435621884,0.9977199648693342,0.04956482715508941,-0.09679219811234935,49,0.0,0.009954670598128375,1.0447116727828996,-0.047491117990410836,2340.213787973067,984.1226435621884,193.99829183268835,0.0,0.0,353.03109560979874,-0.09635938986052742,19.15117348523313,15.58811702277781,8.769935748783045,13.820159921538652,14.890383359047965,6.115459533192385,8.625309394454247,16.98937234555834,12.617085983276446,15.466130619278514,12.211995721750558,18.40020339601542,16.600615536831043,14.752349764950784
24,1654.7490392775424,1019.6922548644003,0.8482287133631464,-0.024378025691761077,-0.014433538787979133,49,0.0,0.01396408644908919,1.6703615887594796,-0.5570262362591966,1654.7490392775424,1019.6922548644003,297.5697433891048,0.0,0.0,353.3167004684155,-0.08154038721794236,19.733888942260943,26.46897448866274,19.01319387071605,24.31349840246861,16.423912376311506,26.36748772222468,25.002171291252168,15.53561373353397,17.10979275970947,25.46873328538913,16.477000034632262,22.631587933678855,30.241050303049654,12.782838245214776
25,2232.984521364378,1038.214363495144,0.8407116721161253,0.2051561420052806,0.17346601682935933,49,0.0,0.08841119664726657,10.912237431743808,-2.594784517312889,2232.984521364378,1038.214363495144,1172.1855043776834,0.0,0.0,353.0757726804476,-0.07382220076402164,74.21547066779574,82.42879339480363,95.91638189461216,100.7768119872179,93.34935820728202,78.23045308644942,78.1713297336587,93.7106103942452,83.90190398934358,89.86113241089177,93.18228983467702,92.31961329262116,72.90391837036137,43.21743711372375
26,713.0100849516334,1061.6109371558434,0.6144973962245892,0.08072291320170191,0.12683910989397457,49,0.0,0.009838199457193497,1.0818412153656534,-0.08540880730778383,713.0100849516334,1061.6109371558434,527.6246826655791,0.0,0.0,353.70908377700044,-0.06407323115951866,27.71777502129961,38.52980433424527,41.500990640387336,43.606072350379804,43.12951787995416,34.45311804392215,35.441399198703635,32.027467699296956,35.51680662906686,60.534419173626986,41.03158917842096,38.21682774962081,33.166862489660225,22.7520322769944
27,2810.6437800828908,1088.3720987578054,0.32497275021631,-0.6626296050106277,0.3424912185796734,49,0.0,0.008893102779361903,1.400313017155307,-0.3655628149605797,2810.6437800828908,1088.3720987578054,721.5675093787647,0.0,0.0,352.83509377774294,-0.052922195194689256,51.33203493774103,55.04023989048743,46.785632769141486,40.66722277929487,58.13231568038286,51.95232179117943,61.81645888095309,52.21841949861843,48.690874120515254,53.664887670339525,56.62366780858163,57.64395261713963,47.357531430701854,39.641949503688096
28,1523.262639496808,1089.5150501777375,0.709219395378506,0.15908566318468298,-0.02436257612648987,49,0.0,0.008303545326728397,1.1202049631345035,-0.1232437312610872,1523.262639496808,1089.5150501777375,198.90179139607096,0.0,0.0,353.3714860763237,-0.05244801302636367,13.646084920523183,13.882473504370726,14.375399914317502,17.565445062430445,17.961504689473824,13.553684655215203,22.852791339812608,8.574309321036615,10.455514520648272,16.09725498638485,11.069282754760565,11.62539368368951,16.44007810516647,10.802573938241203
