id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5
1,1398.2276150121706,28.333902377144252,0.4089588116828806,-0.10423440239459113,-0.24267931580824387,49,0.0,0.005624202786385632,1.0683405420942522,-0.07177427400297175,1398.2276150121706,28.333902377144252,266.3840588760097,0.0,188.50410512715973,218.3871402762126,33.307714746914066,40.26773388600394,58.10927540550262,29.049507315327418,38.70348797567455,57.78953191978691,42.464522373714225
2,1584.8248884826464,28.965570242226217,0.8802204109445542,0.6602477830153297,0.3838105490575447,49,0.0,0.025356957745727007,2.188946645346829,-0.8505879398793391,1584.8248884826464,28.965570242226217,597.5589557329831,0.0,479.3694976516372,218.29411574290594,33.30801838712395,133.05858987339627,99.8752969365377,94.27519792022481,125.10951861133847,77.85482381300477,67.38552857848113
3,1975.2564667255801,50.54773252254706,0.2062134628651544,-0.20260366048970577,-0.2930712025988429,49,0.0,0.0036445778144130287,1.1155056299664206,-0.11867941628334731,1975.2564667255801,50.54773252254706,157.56248268134323,0.0,69.22561817114644,218.09945367600255,33.31687020132754,32.52386162504512,22.88718892451004,31.45602133603247,21.96136753371398,26.617779100649948,22.116264161391644
4,1963.2475891463382,58.121008703595045,0.2703465242146897,0.4088053249583518,0.6907818912440278,49,0.0,0.007561676265944651,1.0818303473529256,-0.08539790011179742,1963.2475891463382,58.121008703595045,410.338826971838,0.0,274.34351474986863,218.10543440850216,33.32003413682153,67.79625359430369,64.81284561618358,68.01915669755232,66.61944037832365,74.41003313449434,68.68109755098041
5,2062.222646196931,69.5061659252258,0.9274942739025974,0.7918261111709315,0.28209768609743197,49,0.0,0.01831740311168961,1.674355469234783,-0.5596191627251951,2062.222646196931,69.5061659252258,488.4244939772807,0.0,167.95705335677965,218.05607295204487,33.32469606043098,23.972067139740233,13.656432580064953,62.84786481584717,62.91804229281496,154.3732661731039,170.65682097570948
6,1733.133715654061,72.05761398667111,0.37891093643403956,0.6620771156200563,0.2171328220920235,49,0.0,0.053657163113724295,7.703283948082782,-2.2166897663369927,1733.133715654061,72.05761398667111,1243.7612714585073,0.0,1067.4037257321413,218.22016503604655,33.32595384647315,192.0462138577717,224.801401563809,229.71055301117354,249.15356591919252,213.7385683279016,134.31096877865892
7,1616.637558570216,87.35078060416718,0.39781551989708536,0.7663777817446779,0.06165890781215324,49,0.0,0.16107951874846202,24.95974120951677,-3.4931001953283007,1616.637558570216,87.35078060416718,2833.797755118163,0.0,2379.26289787685,218.27825378501038,33.3323424827931,453.0686317927171,476.22332321676686,496.2772926834465,552.461405213209,503.61512786974833,352.15197434227537
8,1497.1821146626276,90.28312417620157,0.7026040376941128,-0.8419965281689089,0.006083357521081074,49,0.0,0.013714618772307572,1.5868407202439503,-0.5013333411613569,1497.1821146626276,90.28312417620157,479.5367084632639,0.0,393.96731196335696,218.3378239235187,33.33355376883668,74.33195427629464,91.0970721616145,107.67673650534013,74.6720079390437,73.04158169584841,58.71735588512245
9,1530.2419796197412,93.25890447239485,0.5214664831792739,0.28110793061620615,-0.4026683849043809,49,0.0,0.017374295977068997,2.1104480081568897,-0.810936643952085,1530.2419796197412,93.25890447239485,644.2810881635096,0.0,512.3482960739576,218.32133808387596,33.334799245251496,111.77863386395765,115.45107568435427,106.94228319686407,114.07976919939722,128.70355657105608,67.3257696478803
10,1786.8310344815716,93.74987869300868,0.7258761470462927,-0.06042474200951278,-0.17964747598965972,49,0.0,0.009477956055032733,1.0946290468945596,-0.09816742081406118,1786.8310344815716,93.74987869300868,333.87162984723193,0.0,289.12735702502266,218.19337978019433,33.3349741173521,53.46273041948042,69.17259297244314,59.692712790079696,54.831591890110275,51.37528818199495,45.33671359312342
11,1282.2570806583951,95.91220643703547,0.22601745065915455,0.9440385856781466,0.835331067187232,49,0.0,0.012409826322157341,2.0941843237898827,-0.8025372607899754,1282.2570806583951,95.91220643703547,524.4183222110494,0.0,431.8903372150829,218.44500709870888,33.33580865626162,90.83715346398398,108.97897006087541,88.94925133382804,87.43046357263279,88.37099327592058,59.85149050380857
12,1482.0801052818372,96.47746433308917,0.4700253338029988,0.8038077405599395,0.22529409594087205,49,0.0,0.10779464412760097,16.077345411248086,-3.0155358559908167,1482.0801052818372,96.47746433308917,1713.967235884821,0.0,1379.733217430552,218.34535679384794,33.33613109606622,296.3440218325576,327.8996825270848,313.0819615443485,304.04867942687497,301.651434789992,170.94145576396335
13,1547.0802380456823,95.34579825130442,0.5817373663955011,0.4179417958989686,-0.03485647858118712,49,0.0,0.01176290472978,1.4882262617524675,-0.431672409947376,1547.0802380456823,95.34579825130442,399.7087532881534,0.0,302.19582446513505,218.31294130052243,33.33567075493021,60.84219252400467,72.15996094061708,72.72312150271213,80.12279924129378,74.08117854279622,39.7795005367295
14,1876.5755817740178,96.4282900820183,0.5144995973463229,0.6473138753298247,-0.2406205025967858,49,0.0,0.015211653119781652,1.9628674030702422,-0.7322274070999707,1876.5755817740178,96.4282900820183,512.3308447456197,0.0,445.5250183003194,218.14862343530336,33.33604863610549,98.22308796579456,93.8350223041603,91.80418054340954,84.6412858709058,86.04522555464405,57.78204250670546
