expt,t0,t1
99.12589693344076,907615386.99,907615506.99
102.4553645482379,907615506.99,907615626.99
94.33840474920801,907615626.99,907615746.99
104.0461484334534,907615746.99,907615866.99
102.7917539083833,907615866.99,907615986.99
106.8574107260654,907615986.99,907616106.99
106.889861619383,907616106.99,907616226.99
106.9082939970238,907616226.99,907616346.99
106.9097915573331,907616346.99,907616466.99
106.8776277902402,907616466.99,907616586.99
106.8325602328134,907616586.99,907616706.99
106.752626543826,907616706.99,907616826.99
106.6316901039655,907616826.99,907616946.99
101.7972605969527,907616946.99,907617066.99
