expt,t0,t1
89.26750000370201,781130307.995,781130427.995
119.1496038759458,781130427.995,781130547.995
119.1790783703872,781130547.995,781130667.995
115.2436318401991,781130667.995,781130787.995
119.2135695724653,781130787.995,781130907.995
119.2292507950569,781130907.995,781131027.995
119.236540531207,781131027.995,781131147.995
119.233411774312,781131147.995,781131267.995
115.23902615682,781131267.995,781131387.995
119.2219984970234,781131387.995,781131507.995
119.2040014594993,781131507.995,781131627.995
119.1763828259854,781131627.995,781131747.995
117.1016790649547,781131747.995,781131867.995
100.1308794526598,781131867.995,781131987.995
