id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7,aperture_sum_8,aperture_sum_9,aperture_sum_10,aperture_sum_11,aperture_sum_12
713,1086.9331540424441,1580.890455724184,0.6374752125758946,0.5385953406091549,0.29281885394989476,49,0.0,0.00958297219303649,1.0260073588980636,-0.027876189262497332,1086.9331540424441,1580.890455724184,919.830517341529,0.0,0.0,140.37124116496207,60.45092701942335,62.413977477522764,73.47466382686433,66.94431914852956,82.1013554438426,77.78975406444687,83.09722936970073,62.352383376834055,71.92271922271212,74.99125635104699,64.26680572756467,62.27970641561697,90.80497183617683,47.391375080670535
714,1642.923023731991,1581.180252583542,0.8320214066015272,0.11192215311264718,-0.1359773184988115,49,0.0,0.02166414629897715,2.1875983454692594,-0.8499189655896504,1642.923023731991,1581.180252583542,1139.8676160498526,0.0,0.0,139.90149646271408,60.45174783394138,104.27837136901778,101.92718783696546,79.86836780452579,92.68709521221663,94.36321627170975,87.65834214436885,62.410061458863,73.67688538728785,92.07130127910779,95.83446101896601,92.0710712485322,103.37317121246241,59.6480838058291
715,2556.814117371933,1586.1928548398434,0.8274566944355584,0.3111137705631068,-0.4785776506350321,49,0.0,0.01932070621032708,1.99135400733356,-0.7478711809136475,2556.814117371933,1586.1928548398434,1089.475903289593,0.0,0.0,139.12935348869144,60.451397032708584,78.49796170985053,78.16726947075126,95.43135926642216,93.04582144438649,86.53467239916144,73.63566356825919,92.47792254737385,84.12964787701907,96.7922777375783,78.90208864684871,69.12888642350295,101.13336899687646,61.59896320156256
716,2225.2403981040134,1587.424210502754,0.6017849133203859,0.1607744779663134,-0.24386575293188753,49,0.0,0.011293894163256553,1.1777428146831508,-0.1776261583041702,2225.2403981040134,1587.424210502754,1009.4476926898027,0.0,0.0,139.40947044119358,60.453311107695626,73.1730522338104,77.17930809324085,69.60281264288803,86.19901714446706,71.17761870817479,90.12162260751624,83.96659306855253,84.83805087663649,66.83809650541332,82.74357443295943,81.78780928529304,92.11851643658605,49.7016206542645
717,222.078199399756,1588.0859668821524,0.5373684787246045,0.36493993868654345,-0.12301598296515745,49,0.0,0.019201514305050148,2.562331925336144,-1.021588469263913,222.078199399756,1588.0859668821524,1169.8946326005448,0.0,0.0,141.10190790967422,60.449552191894625,93.86225829062693,85.07932249545715,88.3955297346156,84.66892220354032,84.43317028317998,103.60053893494148,80.74929900018236,90.14483405228302,102.59514228355317,97.8670787785745,98.14121294759192,95.74692676270439,64.61039683329395
718,2096.23454242339,1587.7971053625706,0.5984866835951645,0.3204115962769995,-0.3728871793878248,49,0.0,0.018703168278776335,2.2230540522113253,-0.8673750560858997,2096.23454242339,1587.7971053625706,1171.0714431771007,0.0,0.0,139.5184664590247,60.45385281240809,107.04179350302044,84.88286853223599,90.56491933840059,78.77753034182216,99.25679007767374,104.64711885410898,92.45277372542921,82.65910637320204,91.68233424572387,107.0773211042233,93.64706286026339,90.42273532945538,47.959088891541576
719,1181.3893892926867,1588.0206512086718,0.3245127969444083,0.1510260235289031,0.37269028769187923,49,0.0,0.007828137874412965,1.2227783608166163,-0.21836936132033632,1181.3893892926867,1588.0206512086718,983.8949831600921,0.0,0.0,140.29147177707134,60.45413331431693,68.45158663410615,72.51024680090329,80.3116608808756,84.75516347492274,71.96688478709129,78.815806067645,69.10420381725143,90.27538557070248,76.82127649214621,79.31509945648992,80.28358339906504,78.60847258233302,52.67561319655995
720,3000.406088310526,1589.9026978290187,0.8529327353151989,-0.306851001774963,-0.9521873731919891,49,0.0,0.031989874228760165,3.602965451868362,-1.3916502444440386,3000.406088310526,1589.9026978290187,2655.541296979168,0.0,392.8896169308574,138.75459766395562,60.45014950582413,243.9254820374938,227.91803023784453,229.3175253538675,308.95989080259415,132.06812348155287,454.4828619010365,83.53512520246856,187.67386609604938,83.77489845978225,151.3223661233118,97.76398015847367,182.4526838403197,272.3464632843733
721,2533.231905297393,1596.4688603476807,0.6276572058028793,0.20197212556141467,-0.14209488552082772,49,0.0,0.1287437490078342,17.13996238302225,-3.085024661111503,2533.231905297393,1596.4688603476807,3287.4346857506207,0.0,0.0,139.1491715620843,60.4557973471017,229.30795415501152,267.84298771514347,250.43942223786712,260.4881120517938,251.36499736706105,245.94978993513416,301.4830002737114,241.1378718430854,270.90596885712705,252.88214204858048,284.2029766809141,261.1284777816239,170.3009848035677
722,2972.688848382434,1596.3944391557184,0.5137648235063633,-0.11443627139620965,-0.5552658164908724,49,0.0,0.07022540180674619,8.971750659975825,-2.3821929882633537,2972.688848382434,1596.3944391557184,24687.44851890971,0.0,13121.673248410827,138.77791218978464,60.453059157721896,1656.5268378452736,2276.797184778276,2370.0106618885425,1902.9063879504477,1693.0457414272892,1800.1670813079395,1698.8381855681978,1497.1183898632044,1612.1879279476707,1728.8722502842822,3676.822794257397,1457.9528459563253,1316.2022298348659
723,2254.7560341102603,1599.236069699908,0.5024754438628766,-0.20352128423554103,-0.19607690366405406,49,0.0,0.010423664861300752,1.159913542100656,-0.16106404723118622,2254.7560341102603,1599.236069699908,1015.3171910042843,0.0,0.0,139.3844491800845,60.458131591779676,67.12257989228686,78.06078678837841,88.38655641770765,67.4097144942467,75.69767568282151,98.41237151589999,88.32578970928512,65.41323090152193,73.4741088614148,90.2972301615437,87.24410120717528,80.25990671531375,55.21313865668864
724,776.4052774108384,1602.124294895503,0.8530480608294263,-0.04070401420143743,-0.34753965083290767,49,0.0,0.03690743170347323,3.8752656925285818,-1.4707537089402507,776.4052774108384,1602.124294895503,1270.8988795486157,0.0,0.0,140.63376823100828,60.45866375136208,105.38553288263304,97.24397039425133,113.53965346774837,107.76265757594304,99.56826203855829,71.26687325826106,93.1059896164598,91.269104230588,116.36818474868858,103.09511446442903,113.35338734312728,98.12944228620077,60.81070724172697
