expt,t0,t1
109.8266680296629,904403236.995,904403356.995
118.8609025132266,904403356.995,904403476.995
118.8757654455533,904403476.995,904403596.995
118.8882751248308,904403596.995,904403716.995
118.8965810384341,904403716.995,904403836.995
118.8978378894944,904403836.995,904403956.995
118.8964954655959,904403956.995,904404076.995
118.8948588850662,904404076.995,904404196.995
114.9353236009381,904404196.995,904404316.995
114.7367555632975,904404316.995,904404436.995
118.8601270093808,904404436.995,904404556.995
118.8387177549354,904404556.995,904404676.995
118.795016776151,904404676.995,904404796.995
32.71097386167812,904404796.995,904404916.995
