expt,t0,t1
109.1086691311389,910028967.995,910029087.995
118.138780073564,910029087.995,910029207.995
118.1562048427329,910029207.995,910029327.995
118.1712549656431,910029327.995,910029447.995
118.1802294170444,910029447.995,910029567.995
118.183630937361,910029567.995,910029687.995
118.1832939943108,910029687.995,910029807.995
118.1773787718734,910029807.995,910029927.995
118.1665965942661,910029927.995,910030047.995
118.1513057977486,910030047.995,910030167.995
114.1203992932641,910030167.995,910030287.995
118.0913513280176,910030287.995,910030407.995
42.28282407254517,910030407.995,910030527.995
