id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,xcenter,ycenter,aperture_sum,aperture_sum_mask,aperture_sum_edge,ra,dec,aperture_sum_0,aperture_sum_1,aperture_sum_2,aperture_sum_3,aperture_sum_4,aperture_sum_5,aperture_sum_6,aperture_sum_7,aperture_sum_8,aperture_sum_9,aperture_sum_10
9,1151.5789794614407,568.937687687575,0.7994226815877223,-0.12633138686565432,-0.1297083651572584,49,0.0,0.01813128811508033,2.2992102205389635,-0.9039467033430347,1151.5789794614407,568.937687687575,211.1027129893303,0.0,0.0,226.11451510517978,1.6365098766061168,10.992925600046227,20.7847682175324,9.916772775121782,18.838622721738414,15.441607021623689,30.95974436693142,26.328478915912534,19.822286874936573,31.03997418679719,20.90721899336944,6.070313315320625
10,1894.532271239901,650.6737785483867,0.43815091108158694,0.4061776997729855,-0.2052685590325671,49,0.0,0.0064697266810989145,1.023105156905732,-0.02480068427265752,1894.532271239901,650.6737785483867,212.45418880323675,0.0,0.0,225.80483185395852,1.6705697152860959,8.6283452105166,21.082392791160412,19.502290513139222,25.60436209403614,12.2948219361722,17.09342263852021,30.245540304182406,27.061240268215833,24.24990704777634,20.67766524550583,6.014200754011526
11,688.6660080125868,690.6050730388141,0.5157215977430003,-0.24342840115277425,0.009598609580802922,49,0.0,0.008022171749208206,1.2425486792323854,-0.23578353014899942,688.6660080125868,690.6050730388141,231.0476470953137,0.0,0.0,226.30747600592366,1.687173711900849,31.873516336046222,12.405002870346713,38.621541885314414,16.455744867800725,18.033929291792973,12.31013183267169,23.185889404559017,31.439782809924267,19.866369423390424,21.981818242126852,4.873920131340382
12,606.4017361142361,713.9915670146263,0.7829048858857836,0.06843632786172439,-0.025124752897788396,49,0.0,0.05594248311488824,7.065229571676546,-2.1228156950412367,606.4017361142361,713.9915670146263,667.5887399193743,0.0,0.0,226.34176779486168,1.6969104174585798,58.791661455710006,85.42709352936066,53.26328138318613,72.71362549963237,64.39975350963786,65.81714411275904,62.69654608083878,76.42763154375442,60.35786517968559,50.24067339668458,17.453464228125068
13,1960.0754121280738,792.7187241759831,0.804355574069514,0.17279114436923854,0.11916062028785539,49,0.0,0.009680118279172954,1.1695434085095149,-0.1700408640510248,1960.0754121280738,792.7187241759831,167.21315987573996,0.0,0.0,225.77750582121945,1.7297505914232298,8.64499097685822,15.822703588470883,22.5427247862765,15.648235204170277,13.858472546648922,15.551328353816732,25.015992892413276,19.634994020316615,13.780023543922633,14.96747153553395,1.746222427311948
14,2302.949660913549,803.855080629919,0.3538110370697609,0.04336842405191688,-0.02487718835026929,49,0.0,0.009727295556595121,2.011590349181074,-0.7588488584496501,2302.949660913549,803.855080629919,264.48140882255643,0.0,0.0,225.63458023851234,1.73437386186716,27.613180137480533,17.899830229106108,22.59622036263808,33.2227700458958,27.7588002053203,29.601915320725016,14.557247976544518,31.394095645679705,26.56056334578804,30.10110132932177,3.1756842240565275
15,2736.405664227693,804.230319282452,0.907525165312692,0.1448634061305486,-0.040983314498660856,49,0.0,0.015141790187386026,1.5019301162852932,-0.4416243143305847,2736.405664227693,804.230319282452,335.2938449223677,0.0,320.81170123297386,225.45390200672338,1.734493648606692,31.468863665633073,35.28195182267752,30.17252538095483,37.968250077486935,33.57952961864558,36.01334557013085,29.18176145017655,26.012522333233477,26.203566375359376,37.73089882873625,11.680629799333222
16,1707.9611137517381,855.3827328728828,0.6483441432204038,0.5242074828510398,0.3670742987047972,49,0.0,0.007403298972624413,1.0301657845160923,-0.03226780328426933,1707.9611137517381,855.3827328728828,163.65537490262375,0.0,0.0,225.88259845321437,1.7558651412143793,16.604181458904286,12.810038890435418,19.88248299084477,7.941699787456943,11.832523940417513,10.229991424043124,18.466008526492665,16.106134133560154,18.868901240865696,25.552950811152183,5.3604616984509725
17,2223.872693722356,892.7133088007189,0.8292275561388781,-0.0276878600572618,-0.12740040429014296,49,0.0,0.01668503857101839,2.0268130218282963,-0.7670342146855297,2223.872693722356,892.7133088007189,239.43430105401413,0.0,0.0,225.66753669859733,1.771401442926886,26.939418733510806,24.835152487293072,22.054692466951465,21.658995890549228,27.907321630031163,17.52352965432384,31.016755643645755,21.3409364885807,16.627054491159996,22.125092548130773,7.40535101983731
18,1255.9877215369113,992.9449321751612,0.656232787415306,-0.16512474311436506,0.0722510615275344,49,0.0,0.00921270004851025,1.3187507483497267,-0.3004067977258692,1255.9877215369113,992.9449321751612,177.70315500085275,0.0,0.0,226.0710112732586,1.8131761769473642,7.040094679403049,15.709907096534671,17.951931928964463,13.842414309951156,21.348171719027718,15.304081332583932,19.997716911196832,16.79280188115679,20.875691476154827,23.658043090532896,5.18230057534641
19,480.886274861879,1013.146017471362,0.6845693644311542,-0.09351685720709775,-0.07741931654815619,49,0.0,0.02471105408482706,3.4915345037586296,-1.3575408453697233,480.886274861879,1013.146017471362,384.48374160851097,0.0,0.0,226.39412129036754,1.8215384332003217,23.89798866648112,26.905760865075262,30.773465792979678,47.432479935201734,37.91876586709714,48.46676868685403,30.53671249237273,38.66451833657061,45.67478748745695,51.61621283296255,2.596280645459168
20,1341.012312791471,1047.255363946995,0.592379296888233,-0.6623613110491646,-0.0064045560037774086,49,0.0,0.017460259567861423,2.3373791409841527,-0.921822910079936,1341.012312791471,1047.255363946995,415.2571832544272,0.0,0.0,226.03556867279906,1.8358075427141218,23.206577580871986,38.177595952888964,27.489041105182572,44.88712445371175,32.96087551302517,54.755440667681384,44.30181139883723,40.59632743693642,38.03118973256609,55.04883943514245,15.802359977583258
21,2595.5768017300957,1053.6865409025322,0.3992969879246268,0.6357562838232442,-0.22419528375976025,49,0.0,0.010087931134537853,1.0022376370922832,-0.0024267695009190207,2595.5768017300957,1053.6865409025322,1650.6485358734371,154.39726712652708,0.0,225.51257593801108,1.8384422759459917,151.7483175842007,159.57337378143114,134.2971616543529,152.98548826564422,173.28482143084085,167.13691704725483,169.55628583103282,178.9295256385227,163.57147519433153,161.5524180482338,38.01275139759181
