expt,t0,t1
110.1283497222695,871894146.995,871894266.995
119.1692642355115,871894266.995,871894386.995
119.2038196172182,871894386.995,871894506.995
119.222174991002,871894506.995,871894626.995
119.2334652573359,871894626.995,871894746.995
119.2432686956068,871894746.995,871894866.995
119.2451245565343,871894866.995,871894986.995
119.2450924667199,871894986.995,871895106.995
119.2412363407007,871895106.995,871895226.995
119.2319409911563,871895226.995,871895346.995
119.2143878627301,871895346.995,871895466.995
119.1944173016261,871895466.995,871895586.995
119.1592201236333,871895586.995,871895706.995
119.1110800538697,871895706.995,871895826.995
27.74689960794427,871895826.995,871895946.995
