expt,t0,t1
64.26701413282514,781514890.995,781515010.995
106.5195476084773,781515010.995,781515130.995
102.7147940622428,781515130.995,781515250.995
106.76593568883,781515250.995,781515370.995
98.83987226472209,781515370.995,781515490.995
106.8931269764482,781515490.995,781515610.995
79.91720244404456,781515610.995,781515730.995
86.95215426642729,781515730.995,781515850.995
102.954993612017,781515850.995,781515970.995
106.9489420625605,781515970.995,781516090.995
106.8822218098355,781516090.995,781516210.995
103.8600336506033,781516210.995,781516330.995
