expt,t0,t1
98.79906088472593,891878984.995,891879104.995
107.9976959329619,891879104.995,891879224.995
108.1803870308379,891879224.995,891879344.995
108.267042851439,891879344.995,891879464.995
108.327119791514,891879464.995,891879584.995
108.3938287843871,891879584.995,891879704.995
108.4078585599159,891879704.995,891879824.995
108.4277378285322,891879824.995,891879944.995
108.4114560826136,891879944.995,891880064.995
108.3737749880656,891880064.995,891880184.995
108.3034290630129,891880184.995,891880304.995
108.2311914828327,891880304.995,891880424.995
60.24741549575823,891880424.995,891880544.995
