expt,t0,t1
100.1832570045463,878461034.995,878461154.995
109.5285403645689,878461154.995,878461274.995
109.7596600856784,878461274.995,878461394.995
105.9553707964478,878461394.995,878461514.995
110.0306059031322,878461514.995,878461634.995
110.1083214012857,878461634.995,878461754.995
110.1444542661907,878461754.995,878461874.995
110.1345287066975,878461874.995,878461994.995
110.1121835305043,878461994.995,878462114.995
110.0682813677543,878462114.995,878462234.995
109.985425747186,878462234.995,878462354.995
109.8364072365642,878462354.995,878462474.995
109.6256622175568,878462474.995,878462594.995
109.2958273744086,878462594.995,878462714.995
23.34266305916808,878462714.995,878462834.995
