expt,t0,t1
66.40002734274289,829343201.995,829343321.995
75.99286483999136,829343321.995,829343441.995
79.50674568904653,829343441.995,829343561.995
79.18094257184121,829343561.995,829343681.995
81.99680571467648,829343681.995,829343801.995
71.47883441571153,829343801.995,829343921.995
71.89391325657988,829343921.995,829344041.995
74.17632723324404,829344041.995,829344161.995
47.31135976581259,829344161.995,829344281.995
67.73140544332291,829344281.995,829344401.995
70.80180203770936,829344401.995,829344521.995
51.92819325487309,829344521.995,829344641.995
29.38161217559903,829344641.995,829344761.995
