expt,t0,t1
83.67607569775036,904373661.995,904373781.995
87.66203358983336,904373781.995,904373901.995
97.88274681762647,904373901.995,904374021.995
69.75413858848263,904374021.995,904374141.995
73.8320614792601,904374141.995,904374261.995
87.0302812014289,904374261.995,904374381.995
85.98491275144954,904374381.995,904374501.995
72.53710416442883,904374501.995,904374621.995
66.91334897556972,904374621.995,904374741.995
74.64839364294085,904374741.995,904374861.995
90.19325238918512,904374861.995,904374981.995
